AnimalID,SireID,DamID,SexID,Year,Breed,FamilyID
MRTZD15B000F001,0,0,female,2015,T1,NA
MRTZD15B000F002,0,0,female,2015,T1,NA
MRTZD15B000F003,0,0,female,2015,T1,NA
MRTZD15B000F004,0,0,female,2015,T1,NA
MRTZD15B000F005,0,0,female,2015,T1,NA
MRTZD15B000F006,0,0,female,2015,T1,NA
MRTZD15B000F007,0,0,female,2015,T1,NA
MRTZD15B000F008,0,0,female,2015,T1,NA
MRTZD15B000F010,0,0,female,2015,T1,NA
MRTZD15B000M001,0,0,male,2015,T1,NA
MRTZD15B000M002,0,0,male,2015,T1,NA
MRTZD15B000M003,0,0,male,2015,T1,NA
MRTZD15B000M004,0,0,male,2015,T1,NA
MRTZD15B000M005,0,0,male,2015,T1,NA
MRTZD15B000M006,0,0,male,2015,T1,NA
MRTZD15B000M007,0,0,male,2015,T1,NA
MRTZD15B000M008,0,0,male,2015,T1,NA
MRTZD15B000M010,0,0,male,2015,T1,NA
MRYGY15B000F001,0,0,female,2015,DP,NA
MRYGY15B000F003,0,0,female,2015,MP,NA
MRYGY15B000F004,0,0,female,2015,MP,NA
MRYGY15B000F005,0,0,female,2015,DP,NA
MRYGY15B000F006,0,0,female,2015,MN,NA
MRYGY15B000F009,0,0,female,2015,MP,NA
MRYGY15B000F011,0,0,female,2015,DP,NA
MRYGY15B000F013,0,0,female,2015,DP,NA
MRYGY15B000F016,0,0,female,2015,DP,NA
MRYGY15B000F017,0,0,female,2015,MP,NA
MRYGY15B000F019,0,0,female,2015,MP,NA
MRYGY15B000F020,0,0,female,2015,DP,NA
MRYGY15B000F023,0,0,female,2015,MP,NA
MRYGY15B000F026,0,0,female,2015,DP,NA
MRYGY15B000F028,0,0,female,2015,MN,NA
MRYGY15B000F029,0,0,female,2015,MP,NA
MRYGY15B000F030,0,0,female,2015,DP,NA
MRYGY15B000F031,0,0,female,2015,MN,NA
MRYGY15B000F032,0,0,female,2015,MP,NA
MRYGY15B000F034,0,0,female,2015,DP,NA
MRYGY15B000F035,0,0,female,2015,DP,NA
MRYGY15B000F037,0,0,female,2015,MP,NA
MRYGY15B000F040,0,0,female,2015,MP,NA
MRYGY15B000F044,0,0,female,2015,MP,NA
MRYGY15B000F045,0,0,female,2015,MP,NA
MRYGY15B000F047,0,0,female,2015,MP,NA
MRYGY15B000F050,0,0,female,2015,MP,NA
MRYGY15B000F052,0,0,female,2015,BD,NA
MRYGY15B000F053,0,0,female,2015,MP,NA
MRYGY15B000F054,0,0,female,2015,DP,NA
MRYGY15B000F055,0,0,female,2015,MP,NA
MRYGY15B000F057,0,0,female,2015,MP,NA
MRYGY15B000F058,0,0,female,2015,BD,NA
MRYGY15B000F059,0,0,female,2015,MP,NA
MRYGY15B000F060,0,0,female,2015,DP,NA
MRYGY15B000F061,0,0,female,2015,DP,NA
MRYGY15B000F064,0,0,female,2015,BD,NA
MRYGY15B000F066,0,0,female,2015,MP,NA
MRYGY15B000F069,0,0,female,2015,DP,NA
MRYGY15B000F071,0,0,female,2015,MP,NA
MRYGY15B000F072,0,0,female,2015,DP,NA
MRYGY15B000F073,0,0,female,2015,MP,NA
MRYGY15B000F075,0,0,female,2015,MP,NA
MRYGY15B000F076,0,0,female,2015,MN,NA
MRYGY15B000M001,0,0,male,2015,MN,NA
MRYGY15B000M003,0,0,male,2015,MN,NA
MRYGY15B000M004,0,0,male,2015,MN,NA
MRYGY15B000M005,0,0,male,2015,MN,NA
MRYGY15B000M007,0,0,male,2015,MP,NA
MRYGY15B000M008,0,0,male,2015,MP,NA
MRYGY15B000M009,0,0,male,2015,MP,NA
MRYGY15B000M010,0,0,male,2015,MP,NA
MRYGY15B000M012,0,0,male,2015,MP,NA
MRYGY15B000M013,0,0,male,2015,MP,NA
MRYGY15B000M016,0,0,male,2015,MP,NA
MRYGY15B000M017,0,0,male,2015,MP,NA
MRYGY15B000M018,0,0,male,2015,MP,NA
